title,status,rating,favoriteCharacter,featured,favorite
Berserk,Completed,9,Guts,true,true
Kagurabachi,Currently Reading,9,Chihiro Rokuhira,false,false
Vagabond,Completed,10,Miyamoto Musashi,false,false
Wistoria: Wand and Sword,Currently Reading,7,Will Serfort,false,false
Pandora Hearts,Currently Reading,8,Alice,false,false
The Climber,Planned,0,,false,false
Juujika no Rokunin,Dropped,5,Shun Uruma,false,false
Demon Slayer: Kimetsu no Yaiba,Completed,8,Tanjiro Kamado,false,false
Goodnight Punpun,Completed,0,Punpun Onodera,false,false
